Scale Name,Scale,GT Intersections,Model Count,Matches,Match Rate,No Match,Tolerance,Euc Mean,Euc Std,Euc Min,Euc Max,Texture
original,"1x,1x,1x",855,1238,119,0.09612277867528271,1119,1,8.256865903800236,4.574207231408239,1.4142135623730951,19.209372712298546,sinusoid
2x1y1z,"2x,1x,1x",1698,2364,231,0.09771573604060914,2133,1,12.011633118316785,7.109138237892332,1.4142135623730951,28.319604517012593,sinusoid
1x2y1z,"1x,2x,1x",2001,2250,249,0.11066666666666666,2001,1,10.78845393568608,6.783225439284359,1.4142135623730951,28.442925306655784,sinusoid
1x1y2z,"1x,1x,2x",1710,1238,119,0.09612277867528271,1119,1,8.256865903800236,4.574207231408239,1.4142135623730951,19.209372712298546,sinusoid
2x2y1z,"2x,2x,1x",4011,4197,434,0.10340719561591613,3763,1,14.71087286157539,9.122767772454123,1.4142135623730951,36.71511950137164,sinusoid
1x2y2z,"1x,2x,2x",4002,2250,249,0.11066666666666666,2001,1,10.78845393568608,6.783225439284359,1.4142135623730951,28.442925306655784,sinusoid
2x2y2z,"2x,2x,2x",8022,4197,434,0.10340719561591613,3763,1,14.71087286157539,9.122767772454123,1.4142135623730951,36.71511950137164,sinusoid
3x1y1z,"3x,1x,1x",2613,3523,343,0.09736020437127448,3180,1,14.968241870855277,9.255550894871284,1.4142135623730951,36.124783736376884,sinusoid
3x2y1z,"3x,2x,1x",6024,6175,643,0.10412955465587044,5532,1,18.233261463265688,11.76399512712232,1.4142135623730951,46.17358552246078,sinusoid
3x1y2z,"3x,1x,2x",5226,3523,343,0.09736020437127448,3180,1,14.968241870855277,9.255550894871284,1.4142135623730951,36.124783736376884,sinusoid
3x2y2z,"3x,2x,2x",12048,6175,643,0.10412955465587044,5532,1,18.233261463265688,11.76399512712232,1.4142135623730951,46.17358552246078,sinusoid
original,"1x,1x,1x",7,66,3,0.045454545454545456,63,1,46.95525189458715,35.44297278045212,2.0,118.84864324004712,colonies
2x1y1z,"2x,1x,1x",6,96,3,0.03125,93,1,101.18103685829595,74.58528035303212,2.23606797749979,223.78784596130328,colonies
1x2y1z,"1x,2x,1x",11,84,2,0.023809523809523808,82,1,58.908824829713396,47.26662584557923,2.0,122.30290266383705,colonies
1x1y2z,"1x,1x,2x",17,45,3,0.06666666666666667,42,1,47.212145478146546,41.63174880472253,2.0,117.19214990774766,colonies
2x2y1z,"2x,2x,1x",10,147,3,0.02040816326530612,144,1,125.80176256773532,73.41726519984788,2.0,242.39224410034245,colonies
1x2y2z,"1x,2x,2x",23,61,1,0.01639344262295082,60,1,58.29850059637953,42.21338666109508,2.23606797749979,126.01587201618692,colonies
2x2y2z,"2x,2x,2x",17,111,3,0.02702702702702703,108,1,85.98878068465794,78.41327015609019,2.0,242.17555615709855,colonies
3x1y1z,"3x,1x,1x",3,144,0,0.0,144,1,140.79011301891921,96.10913474559176,2.0,322.7506777684595,colonies
3x2y1z,"3x,2x,1x",11,240,2,0.008333333333333333,238,1,139.73346820234602,116.17597397725795,1.4142135623730951,351.4342043683284,colonies
3x1y2z,"3x,1x,2x",18,138,0,0.0,138,1,99.19082018725648,96.93905915872796,1.4142135623730951,314.78405296329737,colonies
3x2y2z,"3x,2x,2x",26,179,1,0.00558659217877095,178,1,83.41613319048011,87.48141930460481,1.4142135623730951,289.470205720727,colonies
original,"1x,1x,1x",426,1156,74,0.06401384083044982,1082,1,40.35979388876253,29.743654549744807,1.4142135623730951,111.0,linear
2x1y1z,"2x,1x,1x",1290,2056,211,0.10262645914396887,1845,1,40.08893787874129,49.1417234889586,1.4142135623730951,177.0,linear
1x2y1z,"1x,2x,1x",1485,2517,207,0.08224076281287247,2310,1,43.22922361960048,33.729300062083006,1.4142135623730951,108.97706180660222,linear
1x1y2z,"1x,1x,2x",852,1156,74,0.06401384083044982,1082,1,40.35979388876253,29.743654549744807,1.4142135623730951,111.0,linear
2x2y1z,"2x,2x,1x",2196,3879,322,0.08301108533127094,3557,1,45.050453905057296,46.12105424904903,1.4142135623730951,171.0,linear
1x2y2z,"1x,2x,2x",2970,2517,207,0.08224076281287247,2310,1,43.22922361960048,33.729300062083006,1.4142135623730951,108.97706180660222,linear
2x2y2z,"2x,2x,2x",4392,3879,322,0.08301108533127094,3557,1,45.050453905057296,46.12105424904903,1.4142135623730951,171.0,linear
3x1y1z,"3x,1x,1x",2586,3208,356,0.11097256857855362,2852,1,32.88449589939993,39.897816809196065,1.4142135623730951,172.0,linear
3x2y1z,"3x,2x,1x",5016,6563,628,0.0956879475849459,5935,1,36.19166846839136,41.713263010183546,1.4142135623730951,174.0,linear
3x1y2z,"3x,1x,2x",5172,3208,356,0.11097256857855362,2852,1,32.88449589939993,39.897816809196065,1.4142135623730951,172.0,linear
3x2y2z,"3x,2x,2x",10032,6563,628,0.0956879475849459,5935,1,36.19166846839136,41.713263010183546,1.4142135623730951,174.0,linear
original,"1x,1x,1x",477,708,69,0.09745762711864407,639,1,14.29982029328622,9.735362980264135,1.4142135623730951,32.802438933713454,olympic
2x1y1z,"2x,1x,1x",114,785,19,0.024203821656050957,766,1,28.753044415297257,18.18513958906321,1.4142135623730951,67.11929677819934,olympic
1x2y1z,"1x,2x,1x",2532,2169,290,0.13370216689718764,1879,1,18.194440900570967,13.664271671612447,1.4142135623730951,46.95742752749558,olympic
1x1y2z,"1x,1x,2x",954,708,69,0.09745762711864407,639,1,14.29982029328622,9.735362980264135,1.4142135623730951,32.802438933713454,olympic
2x2y1z,"2x,2x,1x",1872,2317,213,0.09192921881743633,2104,1,27.596306949953167,20.077406474358632,1.4142135623730951,66.52818951391959,olympic
1x2y2z,"1x,2x,2x",5064,2169,290,0.13370216689718764,1879,1,18.194440900570967,13.664271671612447,1.4142135623730951,46.95742752749558,olympic
2x2y2z,"2x,2x,2x",3744,2317,213,0.09192921881743633,2104,1,27.596306949953167,20.077406474358632,1.4142135623730951,66.52818951391959,olympic
3x1y1z,"3x,1x,1x",102,791,15,0.018963337547408345,776,1,42.48054183021278,28.991123257001615,1.4142135623730951,95.13148795220224,olympic
3x2y1z,"3x,2x,1x",486,2520,57,0.02261904761904762,2463,1,45.266663799726324,28.142654851466233,1.4142135623730951,106.50821564555478,olympic
3x1y2z,"3x,1x,2x",204,791,15,0.018963337547408345,776,1,42.48054183021278,28.991123257001615,1.4142135623730951,95.13148795220224,olympic
3x2y2z,"3x,2x,2x",972,2520,57,0.02261904761904762,2463,1,45.266663799726324,28.142654851466233,1.4142135623730951,106.50821564555478,olympic
original,"1x,1x,1x",9903,2178,991,0.45500459136822774,1187,1,4.760805091716146,2.5388875185719915,1.4142135623730951,11.661903789690601,oval
2x1y1z,"2x,1x,1x",9901,2177,972,0.44648598989435,1205,1,4.79656500286836,2.5291951325875655,1.4142135623730951,11.180339887498949,oval
1x2y1z,"1x,2x,1x",19797,5246,1832,0.3492184521540221,3414,1,7.050887528267545,4.760421036037104,1.4142135623730951,19.235384061671343,oval
1x1y2z,"1x,1x,2x",19737,2178,962,0.44168962350780533,1216,1,5.225551762429975,2.632209435294721,1.4142135623730951,11.874342087037917,oval
