Scale Name,Config,Textures Used,Avg Matches,Avg Euc Mean,Avg Euc Std,Avg Euc Min,Avg Euc Max
original,"1x,1y,1z",5,251.2,22.926507414430453,16.407017012088257,1.531370849898476,58.704471735149944
2x1y1z,"2x,1y,1z",5,287.2,37.366243454703934,30.310095360306764,1.578584445398434,101.48141742880283
1x2y1z,"1x,2y,1z",5,516.0,27.634366162767698,21.240768810919228,1.531370849898476,65.1831402732524
1x1y2z,"1x,1y,2z",5,245.4,23.070835465285104,17.66343660028689,1.531370849898476,58.415660728159516
2x2y1z,"2x,2y,1z",4,243.0,53.28984907108029,37.18462342392742,1.5606601717798212,129.15888827890842
1x2y2z,"1x,2y,2z",5,506.2,27.690362119687393,20.328795051837794,1.578584445398434,66.40993889692965
2x2y2z,"2x,2y,2z",4,243.0,43.33660360031095,38.433624662987995,1.5606601717798212,129.10471629309745
3x1y1z,"3x,1y,1z",5,339.4,47.124604862775044,35.31603576866317,1.531370849898476,127.3922801214284
3x2y1z,"3x,2y,1z",5,980.0,49.31200738399575,40.4482766126615,1.4142135623730951,139.44419574217733
3x1y2z,"3x,1y,2z",5,335.2,38.91755038849544,35.52121307302045,1.4142135623730951,125.85305936243967
3x2y2z,"3x,2y,2z",4,332.25,45.776931730465876,42.27533307334423,1.4142135623730951,154.03800172218564
