Scale Name,Scale,TP,FP,FN,Model Points,GT Points,Precision,Recall,F1 Score,Accuracy,Tolerance,Euc Mean,Euc Std,Euc Min,Euc Max
original,"1x,1x,1x",4,37,1,41,5,0.0975609756097561,0.8,0.1739130434782609,0.09523809523809523,4,73.48124184479585,50.819703703395916,8.306623458862305,168.24981689453125
2x1y1z,"2x,1x,1x",8,89,3,97,7,0.08247422680412371,0.7272727272727273,0.14814814814814814,0.08,4,116.59750181369567,77.27319170632605,6.7082037925720215,252.7152557373047
1x2y1z,"1x,2x,1x",20,63,3,83,16,0.24096385542168675,0.8695652173913043,0.3773584905660377,0.23255813953488372,4,52.92943864398532,40.891241445748385,4.123105525970459,137.62631225585938
1x1y2z,"1x,1x,2x",12,34,6,46,18,0.2608695652173913,0.6666666666666666,0.37500000000000006,0.23076923076923078,4,43.99530978763805,34.30316010924411,4.123105525970459,113.56495666503906
2x2y1z,"2x,2x,1x",6,131,6,137,10,0.043795620437956206,0.5,0.08053691275167786,0.04195804195804196,4,127.09294768326156,87.35887721553256,4.123105525970459,268.48651123046875
1x2y2z,"1x,2x,2x",27,85,13,112,30,0.24107142857142858,0.675,0.35526315789473684,0.216,4,72.63620258780087,48.004224393608624,4.123105525970459,135.88230895996094
2x2y2z,"2x,2x,2x",8,120,10,128,13,0.0625,0.4444444444444444,0.1095890410958904,0.057971014492753624,4,123.49652551015218,87.34118833997147,4.123105525970459,263.5545349121094
3x1y1z,"3x,1x,1x",14,130,2,144,7,0.09722222222222222,0.875,0.17500000000000002,0.0958904109589041,4,155.8816519040328,125.50499104361587,4.123105525970459,373.8462219238281
3x2y1z,"3x,2x,1x",12,186,1,198,9,0.06060606060606061,0.9230769230769231,0.1137440758293839,0.06030150753768844,4,180.4173158778939,126.93004977484854,4.123105525970459,386.797119140625
3x1y2z,"3x,1x,2x",16,117,5,133,9,0.12030075187969924,0.7619047619047619,0.20779220779220778,0.11594202898550725,4,152.78974156094412,115.8251507421998,4.4721360206604,375.34649658203125
3x2y2z,"3x,2x,2x",19,184,17,203,22,0.09359605911330049,0.5277777777777778,0.1589958158995816,0.08636363636363636,4,179.8008251371591,122.33136147118073,4.242640495300293,384.5594787597656
