Scale Name,Scale,TP,FP,FN,Model Points,GT Points,Precision,Recall,F1 Score,Accuracy,Tolerance,Euc Mean,Euc Std,Euc Min,Euc Max
original,"1x,1x,1x",176,980,0,1156,426,0.1522491349480969,1.0,0.26426426426426425,0.1522491349480969,4,53.710875437211016,36.998166158573945,4.123105525970459,141.0035400390625
2x1y1z,"2x,1x,1x",499,1557,0,2056,1290,0.24270428015564202,1.0,0.39060665362035224,0.24270428015564202,4,66.41544668262557,69.37944482722824,4.123105525970459,229.00218200683594
1x2y1z,"1x,2x,1x",504,2013,0,2517,1485,0.20023837902264602,1.0,0.3336643495531281,0.20023837902264602,4,58.8502467170143,38.91467408711983,4.123105525970459,157.49285888671875
1x1y2z,"1x,1x,2x",176,980,387,1156,852,0.1522491349480969,0.31261101243339257,0.20477021524141945,0.11406351263771873,4,53.710875437211016,36.998166158573945,4.123105525970459,141.0035400390625
2x2y1z,"2x,2x,1x",794,3085,0,3879,2196,0.20469193091002835,1.0,0.33982452386047507,0.20469193091002835,4,69.14424900382612,64.22151855581158,4.123105525970459,229.00218200683594
1x2y2z,"1x,2x,2x",504,2013,1355,2517,2970,0.20023837902264602,0.27111350188273264,0.2303473491773309,0.13016528925619836,4,58.8502467170143,38.91467408711983,4.123105525970459,157.49285888671875
2x2y2z,"2x,2x,2x",794,3085,2020,3879,4392,0.20469193091002835,0.28216062544420756,0.23726281189302256,0.13459908459060857,4,69.14424900382612,64.22151855581158,4.123105525970459,229.00218200683594
3x1y1z,"3x,1x,1x",670,2538,0,3208,2586,0.20885286783042395,1.0,0.34553893759669935,0.20885286783042395,4,56.70764554777514,67.81466225844193,4.123105525970459,252.00198364257812
3x2y1z,"3x,2x,1x",1327,5236,0,6563,5016,0.20219411854334907,1.0,0.33637515842839033,0.20219411854334907,4,60.54421425612488,67.96603048226268,4.123105525970459,252.00198364257812
3x1y2z,"3x,1x,2x",670,2538,2424,3208,5172,0.20885286783042395,0.21654815772462832,0.21263091082196128,0.11896306818181818,4,56.70764554777514,67.81466225844193,4.123105525970459,252.00198364257812
3x2y2z,"3x,2x,2x",1327,5236,4610,6563,10032,0.20219411854334907,0.22351355903655046,0.21231999999999998,0.11876845967958471,4,60.54421425612488,67.96603048226268,4.123105525970459,252.00198364257812
