Scale Name,Scale,TP,FP,FN,Model Points,GT Points,Precision,Recall,F1 Score,Accuracy,Tolerance,Euc Mean,Euc Std,Euc Min,Euc Max
original,"1x,1x,1x",168,540,0,708,477,0.23728813559322035,1.0,0.3835616438356164,0.23728813559322035,4,18.888788780459652,10.324761253077074,4.123105525970459,38.41874694824219
2x1y1z,"2x,1x,1x",58,727,0,785,114,0.07388535031847134,1.0,0.1376037959667853,0.07388535031847134,4,34.869312757311036,21.241140241572126,4.123105525970459,78.64476776123047
1x2y1z,"1x,2x,1x",569,1600,0,2169,2532,0.2623328722913785,1.0,0.41563184806428055,0.2623328722913785,4,24.751531660854816,15.488840367406043,4.123105525970459,58.54912567138672
1x1y2z,"1x,1x,2x",168,540,435,708,954,0.23728813559322035,0.27860696517412936,0.2562929061784897,0.14698162729658792,4,18.888788780459652,10.324761253077074,4.123105525970459,38.41874694824219
2x2y1z,"2x,2x,1x",410,1907,0,2317,1872,0.17695295640914976,1.0,0.30069673634030075,0.17695295640914976,4,34.878824911882695,22.074000367043283,4.123105525970459,77.42092895507812
1x2y2z,"1x,2x,2x",569,1600,2321,2169,5064,0.2623328722913785,0.19688581314878892,0.2249456414311129,0.1267260579064588,4,24.751531660854816,15.488840367406043,4.123105525970459,58.54912567138672
2x2y2z,"2x,2x,2x",410,1907,1716,2317,3744,0.17695295640914976,0.19285042333019756,0.1845599819941481,0.10166129432184479,4,34.878824911882695,22.074000367043283,4.123105525970459,77.42092895507812
3x1y1z,"3x,1x,1x",57,734,0,791,102,0.07206068268015171,1.0,0.13443396226415094,0.07206068268015171,4,51.01001733915033,31.70903893751074,4.123105525970459,107.37783813476562
3x2y1z,"3x,2x,1x",131,2389,0,2520,486,0.05198412698412699,1.0,0.09883062995096191,0.05198412698412699,4,54.23089402307772,34.17295399961688,4.123105525970459,130.38404846191406
3x1y2z,"3x,1x,2x",57,734,93,791,204,0.07206068268015171,0.38,0.12114771519659938,0.06447963800904978,4,51.01001733915033,31.70903893751074,4.123105525970459,107.37783813476562
3x2y2z,"3x,2x,2x",131,2389,445,2520,972,0.05198412698412699,0.22743055555555555,0.08462532299741601,0.04418212478920742,4,54.23089402307772,34.17295399961688,4.123105525970459,130.38404846191406
