Scale Name,Scale,TP,FP,FN,Model Points,GT Points,Precision,Recall,F1 Score,Accuracy,Tolerance,Euc Mean,Euc Std,Euc Min,Euc Max
original,"1x,1x,1x",1459,719,0,2178,9899,0.669880624426079,1.0,0.8023095958207315,0.669880624426079,4,8.395326225084457,3.674859082330506,4.123105525970459,19.92485809326172
2x1y1z,"2x,1x,1x",1478,699,0,2177,9896,0.6789159393661002,1.0,0.8087551299589604,0.6789159393661002,4,7.7874354163294015,3.2236027691176545,4.123105525970459,18.601076126098633
1x2y1z,"1x,2x,1x",2794,2451,7,5245,19770,0.532697807435653,0.9975008925383791,0.6945065871240368,0.531987814166032,4,13.690712286569012,8.668078891618723,4.123105525970459,41.0
1x1y2z,"1x,1x,2x",1399,779,9058,2178,19734,0.6423324150596877,0.1337859806827962,0.22144835773644633,0.12451050195799217,4,7.971747468769627,3.3773233607419826,4.123105525970459,19.416488647460938
2x2y1z,"2x,2x,1x",4752,3487,0,8239,39242,0.5767690253671562,1.0,0.7315834038950043,0.5767690253671562,4,11.980667034260756,6.70979902873749,4.123105525970459,36.878177642822266
1x2y2z,"1x,2x,2x",2516,2729,18083,5245,39428,0.47969494756911346,0.12214185154619156,0.19470670174895527,0.10785322359396433,4,12.695272218006004,9.136123828465005,4.123105525970459,44.94440841674805
2x2y2z,"2x,2x,2x",4548,3691,35947,8239,78425,0.5520087389246268,0.112310161748364,0.18664587351746212,0.102928529398452,4,11.259246004787249,6.73097706911675,4.123105525970459,37.161808013916016
3x1y1z,"3x,1x,1x",1459,719,0,2178,9887,0.669880624426079,1.0,0.8023095958207315,0.669880624426079,4,8.270902216517378,3.6207128809638656,4.123105525970459,19.92485809326172
3x2y1z,"3x,2x,1x",4781,3469,0,8250,39263,0.5795151515151515,1.0,0.7337886578159774,0.5795151515151515,4,11.989636294193659,6.677007913412716,4.123105525970459,33.83784866333008
3x1y2z,"3x,1x,2x",1416,762,9066,2178,19741,0.650137741046832,0.13508872352604465,0.22369668246445495,0.12593383137673425,4,7.322078988933813,2.889026972297966,4.123105525970459,16.309507369995117
3x2y2z,"3x,2x,2x",4525,3725,35979,8250,78425,0.5484848484848485,0.11171736124827178,0.18562579480657998,0.1023084401636935,4,10.736254852090106,5.804714508349529,4.123105525970459,30.870698928833008
