Scale Name,Scale,GT Intersections,Model Count,Matches,Match Rate,No Match,Tolerance,Euc Mean,Euc Std,Euc Min,Euc Max,Texture
original,"1x,1x,1x",7,66,3,0.045454545454545456,63,1,46.95525189458715,35.44297278045212,2.0,118.84864324004712,colonies
2x1y1z,"2x,1x,1x",6,96,3,0.03125,93,1,101.18103685829595,74.58528035303212,2.23606797749979,223.78784596130328,colonies
1x2y1z,"1x,2x,1x",11,84,2,0.023809523809523808,82,1,58.908824829713396,47.26662584557923,2.0,122.30290266383705,colonies
1x1y2z,"1x,1x,2x",17,45,3,0.06666666666666667,42,1,47.212145478146546,41.63174880472253,2.0,117.19214990774766,colonies
2x2y1z,"2x,2x,1x",10,147,3,0.02040816326530612,144,1,125.80176256773532,73.41726519984788,2.0,242.39224410034245,colonies
1x2y2z,"1x,2x,2x",23,61,1,0.01639344262295082,60,1,58.29850059637953,42.21338666109508,2.23606797749979,126.01587201618692,colonies
2x2y2z,"2x,2x,2x",17,111,3,0.02702702702702703,108,1,85.98878068465794,78.41327015609019,2.0,242.17555615709855,colonies
3x1y1z,"3x,1x,1x",3,144,0,0.0,144,1,140.79011301891921,96.10913474559176,2.0,322.7506777684595,colonies
3x2y1z,"3x,2x,1x",11,240,2,0.008333333333333333,238,1,139.73346820234602,116.17597397725795,1.4142135623730951,351.4342043683284,colonies
3x1y2z,"3x,1x,2x",18,138,0,0.0,138,1,99.19082018725648,96.93905915872796,1.4142135623730951,314.78405296329737,colonies
3x2y2z,"3x,2x,2x",26,179,1,0.00558659217877095,178,1,83.41613319048011,87.48141930460481,1.4142135623730951,289.470205720727,colonies
