Scale Name,Scale,GT Intersections,Model Count,Matches,Match Rate,No Match,Tolerance,Euc Mean,Euc Std,Euc Min,Euc Max,Texture
original,"1x,1x,1x",477,708,69,0.09745762711864407,639,1,14.29982029328622,9.735362980264135,1.4142135623730951,32.802438933713454,olympic
2x1y1z,"2x,1x,1x",114,785,19,0.024203821656050957,766,1,28.753044415297257,18.18513958906321,1.4142135623730951,67.11929677819934,olympic
1x2y1z,"1x,2x,1x",2532,2169,290,0.13370216689718764,1879,1,18.194440900570967,13.664271671612447,1.4142135623730951,46.95742752749558,olympic
1x1y2z,"1x,1x,2x",954,708,69,0.09745762711864407,639,1,14.29982029328622,9.735362980264135,1.4142135623730951,32.802438933713454,olympic
2x2y1z,"2x,2x,1x",1872,2317,213,0.09192921881743633,2104,1,27.596306949953167,20.077406474358632,1.4142135623730951,66.52818951391959,olympic
1x2y2z,"1x,2x,2x",5064,2169,290,0.13370216689718764,1879,1,18.194440900570967,13.664271671612447,1.4142135623730951,46.95742752749558,olympic
2x2y2z,"2x,2x,2x",3744,2317,213,0.09192921881743633,2104,1,27.596306949953167,20.077406474358632,1.4142135623730951,66.52818951391959,olympic
3x1y1z,"3x,1x,1x",102,791,15,0.018963337547408345,776,1,42.48054183021278,28.991123257001615,1.4142135623730951,95.13148795220224,olympic
3x2y1z,"3x,2x,1x",486,2520,57,0.02261904761904762,2463,1,45.266663799726324,28.142654851466233,1.4142135623730951,106.50821564555478,olympic
3x1y2z,"3x,1x,2x",204,791,15,0.018963337547408345,776,1,42.48054183021278,28.991123257001615,1.4142135623730951,95.13148795220224,olympic
3x2y2z,"3x,2x,2x",972,2520,57,0.02261904761904762,2463,1,45.266663799726324,28.142654851466233,1.4142135623730951,106.50821564555478,olympic
