Scale Name,Scale,TP,FP,FN,Model Points,GT Points,Precision,Recall,F1 Score,Accuracy,Tolerance,Euc Mean,Euc Std,Euc Min,Euc Max
original,"1x,1x,1x",341,897,0,1238,855,0.2754442649434572,1.0,0.4319189360354655,0.2754442649434572,4,12.567183326053513,8.744299920592551,4.123105525970459,46.840152740478516
2x1y1z,"2x,1x,1x",541,1823,0,2364,1698,0.22884940778341795,1.0,0.37246127366609294,0.22884940778341795,4,16.77204661623044,10.416669764849857,4.123105525970459,53.66563034057617
1x2y1z,"1x,2x,1x",577,1673,0,2250,2001,0.2564444444444444,1.0,0.408206579412805,0.2564444444444444,4,17.912843769493033,17.277758526187704,4.123105525970459,89.26925659179688
1x1y2z,"1x,1x,2x",341,897,776,1238,1710,0.2754442649434572,0.3052820053715309,0.2895966029723992,0.16931479642502484,4,12.567183326053513,8.744299920592551,4.123105525970459,46.840152740478516
2x2y1z,"2x,2x,1x",882,3315,0,4197,4011,0.21015010721944247,1.0,0.3473124630832841,0.21015010721944247,4,21.769686569455523,17.74675778316122,4.123105525970459,91.7060546875
1x2y2z,"1x,2x,2x",577,1673,1822,2250,4002,0.2564444444444444,0.2405168820341809,0.24822542482254245,0.14169941060903732,4,17.912843769493033,17.277758526187704,4.123105525970459,89.26925659179688
2x2y2z,"2x,2x,2x",882,3315,3659,4197,8022,0.21015010721944247,0.19423034573882406,0.20187685969329366,0.11227087576374746,4,21.769686569455523,17.74675778316122,4.123105525970459,91.7060546875
3x1y1z,"3x,1x,1x",762,2761,0,3523,2613,0.21629293216009082,1.0,0.35565927654609103,0.21629293216009082,4,20.280443201199773,12.031208742699237,4.123105525970459,56.920997619628906
3x2y1z,"3x,2x,1x",1216,4959,0,6175,6024,0.19692307692307692,1.0,0.32904884318766064,0.19692307692307692,4,25.683624892014606,19.415374661313226,4.123105525970459,98.47334289550781
3x1y2z,"3x,1x,2x",762,2761,2380,3523,5226,0.21629293216009082,0.24252068746021643,0.22865716429107275,0.12908690496357783,4,20.280443201199773,12.031208742699237,4.123105525970459,56.920997619628906
3x2y2z,"3x,2x,2x",1216,4959,5496,6175,12048,0.19692307692307692,0.18116805721096543,0.18871731201986494,0.10418987233313341,4,25.683624892014606,19.415374661313226,4.123105525970459,98.47334289550781
