Topic,Person,2D_Mean,2D_Std,2D_Min,2D_Max,2D_Overlaps,3D_Mean,3D_Std,3D_Min,3D_Max,3D_Overlaps,Diff_Mean
B-cell_infiltration,Person 1,2.48,4.96,0.00,12.39,"12.4%, 0.0%, 0.0%, 0.0%, 0.0%",20.00,40.00,0.00,100.00,"100.0%, 0.0%, 0.0%, 0.0%, 0.0%",+17.52
B-cell_infiltration,Person 2,65.75,33.16,0.00,86.42,"73.9%, 84.8%, 86.4%, 83.7%, 0.0%",73.29,38.88,0.00,100.00,"66.5%, 100.0%, 100.0%, 100.0%, 0.0%",+7.55
B-cell_infiltration,Person 3,39.82,38.68,0.00,89.75,"28.5%, 89.8%, 0.0%, 0.0%, 80.9%",35.71,36.28,0.00,82.78,"20.3%, 82.8%, 0.0%, 0.0%, 75.5%",-4.11
B-cell_infiltration,Person 4,19.00,38.00,0.00,95.00,"0.0%, 0.0%, 0.0%, 95.0%, 0.0%",20.00,40.00,0.00,100.00,"0.0%, 0.0%, 0.0%, 100.0%, 0.0%",+1.00
B-cell_infiltration,Person 5,43.33,35.16,0.00,77.56,"1.1%, 73.0%, 77.6%, 0.0%, 65.0%",60.04,48.95,0.00,100.00,"0.2%, 100.0%, 100.0%, 0.0%, 100.0%",+16.71
B-cell_infiltration,Person 6,8.79,17.58,0.00,43.94,"0.0%, 0.0%, 0.0%, 0.0%, 43.9%",7.13,14.27,0.00,35.67,"0.0%, 0.0%, 0.0%, 0.0%, 35.7%",-1.65
Inflammatory_zone,Person 1,36.03,32.67,0.00,83.65,"83.7%, 38.9%, 0.0%, 57.6%, 0.0%",60.00,48.99,0.00,100.00,"100.0%, 100.0%, 0.0%, 100.0%, 0.0%",+23.97
Inflammatory_zone,Person 2,14.35,21.26,0.00,54.80,"16.9%, 0.0%, 54.8%, 0.0%, 0.0%",28.64,39.41,0.00,100.00,"100.0%, 0.0%, 43.2%, 0.0%, 0.0%",+14.30
Inflammatory_zone,Person 3,32.08,26.55,0.00,64.16,"64.2%, 19.5%, 63.2%, 0.0%, 13.6%",70.79,39.64,0.00,100.00,"100.0%, 100.0%, 53.9%, 0.0%, 100.0%",+38.71
Inflammatory_zone,Person 4,58.35,30.59,0.00,87.93,"75.7%, 0.0%, 59.9%, 87.9%, 68.2%",66.13,37.74,0.00,100.00,"100.0%, 0.0%, 50.3%, 80.4%, 100.0%",+7.78
Inflammatory_zone,Person 5,39.81,23.36,0.00,65.05,"32.6%, 0.0%, 61.1%, 65.1%, 40.3%",62.15,36.97,0.00,100.00,"100.0%, 0.0%, 52.6%, 58.2%, 100.0%",+22.34
Inflammatory_zone,Person 6,19.07,18.22,0.00,47.24,"17.4%, 0.0%, 47.2%, 30.7%, 0.0%",47.78,44.94,0.00,100.00,"100.0%, 0.0%, 38.9%, 100.0%, 0.0%",+28.71
Oxidative_stress_regulation,Person 1,15.10,19.16,0.00,45.63,"29.9%, 0.0%, 0.0%, 0.0%, 45.6%",40.00,48.99,0.00,100.00,"100.0%, 0.0%, 0.0%, 0.0%, 100.0%",+24.90
Oxidative_stress_regulation,Person 2,15.21,30.42,0.00,76.05,"0.0%, 0.0%, 76.0%, 0.0%, 0.0%",20.00,40.00,0.00,100.00,"0.0%, 0.0%, 100.0%, 0.0%, 0.0%",+4.79
Oxidative_stress_regulation,Person 3,35.88,27.52,0.00,70.28,"21.4%, 21.7%, 66.0%, 70.3%, 0.0%",80.00,40.00,0.00,100.00,"100.0%, 100.0%, 100.0%, 100.0%, 0.0%",+44.12
Oxidative_stress_regulation,Person 4,27.40,24.77,0.00,57.06,"26.4%, 0.0%, 53.6%, 57.1%, 0.0%",60.00,48.99,0.00,100.00,"100.0%, 0.0%, 100.0%, 100.0%, 0.0%",+32.60
Oxidative_stress_regulation,Person 5,0.00,0.00,0.00,0.00,"0.0%, 0.0%, 0.0%, 0.0%, 0.0%",0.00,0.00,0.00,0.00,"0.0%, 0.0%, 0.0%, 0.0%, 0.0%",+0.00
Oxidative_stress_regulation,Person 6,18.49,36.98,0.00,92.44,"0.0%, 0.0%, 0.0%, 92.4%, 0.0%",17.14,34.28,0.00,85.69,"0.0%, 0.0%, 0.0%, 85.7%, 0.0%",-1.35
T-cell_maturation,Person 1,27.18,33.33,0.00,70.53,"0.0%, 0.0%, 70.5%, 0.0%, 65.4%",23.77,29.20,0.00,62.84,"0.0%, 0.0%, 62.8%, 0.0%, 56.0%",-3.41
T-cell_maturation,Person 2,26.04,23.85,0.00,53.49,"0.0%, 0.0%, 53.5%, 53.0%, 23.6%",31.96,37.76,0.00,100.00,"0.0%, 0.0%, 44.9%, 100.0%, 14.9%",+5.92
T-cell_maturation,Person 3,48.32,30.15,0.00,91.10,"0.0%, 51.7%, 62.9%, 91.1%, 35.8%",41.23,26.61,0.00,79.14,"0.0%, 43.8%, 55.7%, 79.1%, 27.5%",-7.09
T-cell_maturation,Person 4,9.12,18.24,0.00,45.60,"0.0%, 0.0%, 0.0%, 45.6%, 0.0%",20.00,40.00,0.00,100.00,"0.0%, 0.0%, 0.0%, 100.0%, 0.0%",+10.88
T-cell_maturation,Person 5,3.13,6.26,0.00,15.64,"0.0%, 0.0%, 0.0%, 15.6%, 0.0%",1.67,3.35,0.00,8.37,"0.0%, 0.0%, 0.0%, 8.4%, 0.0%",-1.46
T-cell_maturation,Person 6,17.92,35.83,0.00,89.58,"0.0%, 89.6%, 0.0%, 0.0%, 0.0%",16.12,32.23,0.00,80.58,"0.0%, 80.6%, 0.0%, 0.0%, 0.0%",-1.80
