Model,ROI_ID,x,y,z
GAT,1,8064,2928,28
GAT,2,4104,1456,88
GAT,3,6344,2656,86
GAT,4,1368,2232,76
GAT,5,2600,1168,76
Person 1,1,7900,3251,25
Person 1,2,6519,2200,85
Person 1,3,129,1700,159
Person 1,4,4846,4246,170
Person 1,5,1500,2160,126
Person 2,1,214,1783,104
Person 2,2,1405,2328,104
Person 2,3,4152,1539,104
Person 2,4,7901,2900,104
Person 2,5,6259,2647,104
Person 3,1,2713,1210,22
Person 3,2,8409,3262,89
Person 3,3,7874,2858,89
Person 3,4,4147,1504,154
Person 3,5,4940,4392,132
Person 4,1,7800,2760,52
Person 4,2,6258,2580,52
Person 4,3,1363,2201,85
Person 4,4,4163,1567,75
Person 4,5,9025,3272,125
Person 5,1,4167,1615,86
Person 5,2,8735,3295,135
Person 5,3,4765,4102,111
Person 5,4,2672,1379,28
Person 5,5,6227,2576,44
Person 6,1,2241,1500,22
Person 6,2,7800,2600,61
Person 6,3,6500,2900,85
Person 6,4,4905,2205,100
Person 6,5,400,1628,115
