Model,ROI_ID,x,y,z
GAT,1,400.0,360.0,75.0
GAT,2,512.0,976.0,93.0
GAT,3,5856.0,3560.0,83.0
GAT,4,2232.0,2088.0,103.0
GAT,5,10304.0,4736.0,73.0
Person 1,1,525.0,812.0,26.0
Person 1,2,5314.0,3194.0,135.0
Person 1,3,2148.0,1800.0,121.0
Person 1,4,6756.0,2768.0,121.0
Person 1,5,10001.0,4554.0,110.0
Person 2,1,480.0,313.0,96.0
Person 2,2,701.0,1150.0,96.0
Person 2,3,9643.0,2994.0,96.0
Person 2,4,5796.0,3421.0,96.0
Person 2,5,5832.0,3006.0,96.0
Person 3,1,5784.0,3356.0,76.0
Person 3,2,2416.0,2129.0,75.0
Person 3,3,5633.0,2816.0,132.0
Person 3,4,902.0,1342.0,133.0
Person 3,5,484.0,891.0,54.0
Person 4,1,451.0,854.0,50.0
Person 4,2,2097.0,2101.0,50.0
Person 4,3,5700.0,3305.0,75.0
Person 4,4,2498.0,2017.0,75.0
Person 4,5,6700.0,2865.0,110.0
Person 5,1,1695.0,1413.0,107.0
Person 5,2,2128.0,2191.0,37.0
Person 5,3,3099.0,2188.0,63.0
Person 5,4,9837.0,4739.0,118.0
Person 5,5,5914.0,3363.0,158.0
Person 6,1,2186.0,2100.0,43.0
Person 6,2,665.0,1024.0,48.0
Person 6,3,9015.0,3020.0,43.0
Person 6,4,8515.0,3432.0,104.0
Person 6,5,9698.0,4688.0,160.0
Person 7,1,350.0,430.0,100.0
Person 7,2,650.0,1054.0,100.0
Person 7,3,2504.0,2100.0,50.0
Person 7,4,5690.0,3394.0,50.0
Person 7,5,7950.0,4028.0,50.0
Person 8,1,730.0,810.0,100.0
Person 8,2,2018.0,1950.0,100.0
Person 8,3,5850.0,3561.0,50.0
Person 8,4,4561.0,2480.0,50.0
Person 8,5,10168.0,4594.0,50.0
Person 9,1,730.0,850.0,100.0
Person 9,2,9892.0,4582.0,100.0
Person 9,3,2421.0,2152.0,50.0
Person 9,4,2005.0,1150.0,50.0
Person 9,5,591.0,432.0,50.0
