Model,ROI_ID,x,y,z
GAT,1,6328,2808,88
GAT,2,8688,3376,101
GAT,3,2448,1208,103
GAT,4,616,1040,25
GAT,5,9608,4592,30
Person 1,1,2586,1334,25
Person 1,2,7900,3184,25
Person 1,3,5152,2960,65
Person 1,4,9500,4400,130
Person 1,5,1700,1170,152
Person 2,1,7800,3160,25
Person 2,2,2728,1102,25
Person 2,3,571,741,65
Person 2,4,9800,4110,150
Person 2,5,5030,2905,68
Person 3,1,2668,1295,43
Person 3,2,8398,3263,47
Person 3,3,10032,4593,83
Person 3,4,5077,2962,75
Person 3,5,667,1017,122
Person 4,1,522,699,71
Person 4,2,7873,3169,16
Person 4,3,4990,2850,100
Person 4,4,6228,3001,136
Person 4,5,500,2886,76
Person 5,1,5089,3054,68
Person 5,2,1178,865,105
Person 5,3,8100,3094,50
Person 5,4,3566,2336,108
Person 5,5,2387,1249,75
Person 6,1,8722,3320,20
Person 6,2,1330,2127,34
Person 6,3,4976,3019,81
Person 6,4,9555,4750,125
Person 6,5,4835,4327,162
